ep_rew,gates_cleared,n_steps
-113.633061,0,1968
-113.875758,0,2008
-113.820484,0,2472
-114.289033,0,2480
-114.187055,0,2568
-114.283069,0,2752
-114.496482,0,2904
-119.655241,0,2928
-113.81337,0,4120
-113.223088,0,4544
-114.288855,0,4624
-114.279958,0,4976
-114.352061,0,5376
-115.06306,0,5856
-112.888756,0,6336
-115.681703,0,6400
-116.685652,0,6400
-113.109026,0,6792
-115.014113,0,7392
-112.997478,0,7544
-115.422694,0,7736
-119.595363,0,8008
-113.153244,0,8432
-119.115212,0,9272
-114.599541,0,9376
-120.599434,0,9936
-119.513802,0,10128
-120.707809,0,11144
-120.899264,0,11200
-115.284119,0,11672
-114.195441,0,12064
-114.613405,0,12248
-114.226485,0,12584
-119.352592,0,13488
-116.073156,0,13816
-114.830184,0,14104
-114.776106,0,14368
-117.309367,0,15536
-121.353997,0,15800
-114.01633,0,15944
-115.331956,0,17184
-123.851244,0,17248
-118.196949,0,17376
-115.733245,0,17528
-117.192308,0,18624
-114.25315,0,18752
-118.238357,0,20392
-114.656176,0,20424
-115.608799,0,20576
-117.302916,0,21912
-116.215121,0,22376
-120.587224,0,22376
-124.363992,0,22720
-115.227656,0,23680
-123.874422,0,24128
-116.59641,0,24368
-116.824894,0,24704
-35.807171,0,24752
-115.084481,0,25368
-116.249902,0,26632
-42.286073,0,26816
-118.290335,0,26904
54.99211,1,26960
-118.294482,0,28856
-117.708252,0,28976
-33.034881,0,29112
-30.489578,0,29672
-123.597548,0,30016
-116.332424,0,30648
-122.818638,0,31488
-87.029158,0,32168
-30.709546,0,33608
-117.199884,0,33656
-118.105826,0,33864
49.867059,1,34304
-124.243587,0,34632
59.392979,1,34816
-120.563432,0,35112
-24.489196,0,35448
-125.062487,0,35592
-24.408429,0,35720
-28.015559,0,36128
-27.232135,0,36328
-20.676835,0,37408
-80.507923,0,37864
-58.663168,0,37960
-65.924708,0,38224
-27.243776,0,38808
53.030699,1,38872
-122.400845,0,39080
-57.665169,0,40136
-95.555562,0,40256
57.19927,1,40384
-30.130669,0,40808
-124.678609,0,41496
55.916999,1,41920
-121.566801,0,42216
-51.806392,0,42312
-18.462979,0,42864
59.714119,1,43104
-122.978288,0,43376
-100.717544,0,44792
56.09064,1,44840
-123.286781,0,45088
-123.805924,0,45288
-51.007337,0,45344
-30.71276,0,45544
-121.48097,0,46368
-103.703349,0,46520
55.391076,1,46616
-37.745115,0,46888
-42.279489,0,47144
56.030671,1,47352
61.085568,1,47832
57.1929,1,48232
-58.470733,0,48312
50.976438,1,48704
53.558376,1,49720
-26.48622,0,49736
-120.022501,0,50304
-121.065782,0,50328
-121.097815,0,50392
-55.668791,0,50624
54.006648,1,50808
-112.479493,0,51312
-66.174528,0,51928
-84.703031,0,52344
-54.219977,0,52368
-119.451015,0,52504
-100.674084,0,52528
-106.516639,0,52840
54.070842,1,53440
-119.878611,0,53624
-47.909748,0,53768
58.56661,1,53840
-35.212015,0,54056
52.559517,1,54872
54.255869,1,55080
56.040329,1,55144
-48.892387,0,55360
-119.712426,0,55376
-120.068488,0,55424
56.986882,1,55544
59.299656,1,56704
-42.401321,0,57056
-119.375815,0,57216
-121.794253,0,57240
-58.270875,0,57272
-43.839575,0,57552
-59.890179,0,57616
-42.91915,0,58176
55.965619,1,58288
-44.744979,0,58360
62.049988,1,58592
-51.983563,0,58848
-66.613941,0,59656
-119.340629,0,59808
-118.722734,0,60304
-119.92892,0,60464
-118.902052,0,60632
-119.280675,0,61224
-119.121807,0,61408
54.903369,1,61432
-119.269659,0,62216
-121.457414,0,62280
-119.029898,0,62904
-103.577315,0,62960
58.187062,1,63312
-118.721415,0,63344
58.26638,1,63424
-118.478273,0,63464
-119.020176,0,63520
-120.628684,0,63864
56.132844,1,64144
59.457565,1,64424
57.239214,1,64560
-62.393905,0,64912
61.664774,1,65640
-119.135138,0,65728
-118.824321,0,65896
55.659511,1,65936
-119.515972,0,66344
-119.644506,0,66584
58.150662,1,66880
-119.481072,0,66920
-90.08703,0,67632
55.379266,1,67664
-120.658923,0,67856
-119.28378,0,67928
-81.754928,0,68176
-119.964377,0,68712
57.398609,1,68736
56.601165,1,68744
59.561331,1,68952
-119.305127,0,69184
-43.519112,0,69184
-23.26133,0,69360
-119.407711,0,69584
55.020812,1,69640
57.411404,1,69760
55.765503,1,70048
54.347724,1,70176
57.06065,1,70640
56.197406,1,70984
-77.704226,0,71048
-33.975049,0,71072
56.616397,1,71096
-119.986498,0,71440
54.596781,1,72048
56.677502,1,72112
57.121794,1,72120
-86.534845,0,72264
56.462239,1,72432
-69.934791,0,72432
56.124175,1,73168
53.076505,1,73240
-122.480576,0,73264
61.704566,1,73328
57.715903,1,73456
-24.303544,0,73920
-119.910759,0,73984
59.142363,1,74160
61.911811,1,74440
60.366378,1,74448
-76.683714,0,74512
-35.101003,0,74976
58.692572,1,75072
55.725923,1,75128
56.74159,1,75512
60.287562,1,75528
-119.165511,0,75792
-118.885104,0,75952
56.227566,1,75960
58.543462,1,76088
-88.387782,0,76264
55.526076,1,76264
54.634955,1,76560
59.285625,1,76560
53.0758,1,76816
60.565022,1,76904
59.240649,1,77064
56.65366,1,77176
62.404972,1,77880
60.45339,1,77904
-47.877062,0,78008
54.974641,1,78848
-120.028245,0,78976
55.799213,1,79040
-119.412503,0,79248
-119.531414,0,79312
-94.384463,0,79336
-119.214142,0,79616
55.779883,1,79864
60.989167,1,79992
-95.402761,0,80032
59.841863,1,80072
57.360682,1,80584
55.779146,1,80744
56.114209,1,81000
57.15412,1,81208
-118.88741,0,81600
62.571976,1,81688
57.094517,1,81752
54.425618,1,81992
-116.850199,0,82032
57.830663,1,82136
-82.289636,0,82240
-120.428493,0,82520
60.645007,1,82856
61.700792,1,83128
59.07099,1,83128
-43.991934,0,83152
-61.303579,0,83192
59.932949,1,83528
-99.808223,0,83960
56.282506,1,83976
55.956908,1,84120
58.681492,1,84144
61.899821,1,84152
-84.167036,0,84168
56.083055,1,84648
58.733342,1,85064
55.497153,1,85096
58.865544,1,85152
-113.651978,0,85216
56.764355,1,85248
57.47757,1,85544
56.800943,1,85984
-84.526796,0,86024
59.306285,1,86144
55.305193,1,86184
55.790166,1,86512
60.356466,1,86528
-119.663272,0,86680
-39.422341,0,86824
54.683234,1,86944
61.437811,1,87200
58.769023,1,87496
56.903416,1,87744
62.186009,1,87936
-118.614291,0,87968
57.680399,1,88160
-119.352905,0,88424
-48.697991,0,88448
-118.886242,0,88848
61.386128,1,88856
59.759206,1,88920
56.503351,1,88928
57.689425,1,89416
57.469729,1,89456
-109.791624,0,89520
56.799258,1,89744
-67.598951,0,89784
58.61171,1,89824
60.291902,1,89952
56.362074,1,89976
60.418158,1,90384
59.834793,1,90408
60.96617,1,90416
56.833186,1,90768
59.286252,1,90816
56.634431,1,90824
62.731627,1,90840
-28.497536,0,91160
59.66486,1,91192
58.286443,1,91360
59.39416,1,91608
61.412133,1,91800
55.985415,1,91808
61.998818,1,92056
-61.256305,0,92192
57.892475,1,92256
-19.963499,0,92296
-57.185755,0,92408
59.399297,1,92704
60.791218,1,92856
59.789787,1,92976
59.469937,1,93160
58.605774,1,93176
56.008138,1,93264
57.822163,1,93584
-118.763106,0,93744
58.763665,1,93752
60.757548,1,94040
58.043201,1,94104
58.500365,1,94232
-109.275249,0,94360
58.65796,1,94608
59.158755,1,94736
62.41621,1,95016
-119.420731,0,95056
62.425733,1,95096
55.910562,1,95280
60.152114,1,95504
-100.843294,0,95544
-59.006271,0,95744
61.885163,1,95888
61.683158,1,95952
59.267163,1,96072
55.718075,1,96136
-15.361046,0,96288
60.201747,1,96288
62.675064,1,96696
56.226931,1,96760
54.953068,1,97096
-38.949112,0,97136
56.725786,1,97328
-56.864386,0,97504
59.290434,1,97616
62.436336,1,97696
-75.965647,0,97992
59.177796,1,98056
56.478494,1,98112
-100.998643,0,98184
62.510955,1,98344
56.270281,1,98408
58.725773,1,98576
56.921846,1,98840
-37.519461,0,98960
59.343901,1,99288
58.923477,1,99336
60.910314,1,99408
-51.339164,0,99640
63.195064,1,99720
57.869244,1,99872
-42.239483,0,99944
-119.357248,0,100192
55.592997,1,100216
59.993485,1,100288
60.697803,1,100344
62.724829,1,100712
58.794338,1,100776
59.98795,1,100784
59.450496,1,101080
-43.75395,0,101112
58.788063,1,101176
60.529257,1,101208
61.664566,1,101632
57.487689,1,101672
61.781314,1,102000
61.564333,1,102080
55.35064,1,102152
59.302349,1,102208
-118.661311,0,102256
59.412943,1,102528
56.828154,1,102640
-108.439887,0,102984
61.544647,1,103112
57.515597,1,103120
59.967778,1,103136
57.78796,1,103216
-58.110101,0,103488
61.97938,1,103536
59.277397,1,104056
59.990891,1,104136
59.357506,1,104176
60.905291,1,104208
61.640555,1,104448
-67.764093,0,104480
60.932243,1,104520
-60.907314,0,104696
60.214396,1,105008
57.495202,1,105168
60.200408,1,105176
57.29113,1,105344
59.611041,1,105424
58.364376,1,105448
62.375941,1,105600
54.64074,1,105976
60.745666,1,106104
56.382007,1,106168
63.123435,1,106256
62.50949,1,106312
-112.631842,0,106432
57.130026,1,106528
63.356332,1,106560
56.948851,1,106992
61.484722,1,107136
60.246872,1,107216
57.9705,1,107312
60.674891,1,107408
62.02356,1,107496
-41.57663,0,107504
59.130937,1,107984
60.557441,1,108272
61.950463,1,108296
59.096257,1,108440
-119.503635,0,108512
60.690296,1,108520
62.292488,1,108888
63.054649,1,109112
57.985874,1,109192
-118.914228,0,109320
60.566189,1,109384
62.652737,1,109496
-119.956649,0,109672
61.065311,1,109856
55.905657,1,110128
-118.946294,0,110384
56.440111,1,110536
60.51165,1,110576
56.875281,1,110744
62.892699,1,111024
-118.296827,0,111192
54.841953,1,111200
59.101525,1,111368
-118.515596,0,111432
-111.238656,0,111504
59.801531,1,111536
61.784754,1,111624
59.412371,1,111896
62.009006,1,112064
59.779258,1,112216
62.233032,1,112216
58.568091,1,112392
56.560182,1,112408
61.748766,1,112432
59.874183,1,112776
57.192829,1,113024
60.908855,1,113096
61.812407,1,113336
61.447102,1,113480
57.540237,1,113736
-119.328722,0,113744
56.605847,1,113864
60.959391,1,113864
-111.361702,0,113984
58.520375,1,114208
-75.069527,0,114328
56.520295,1,114440
57.453088,1,114688
52.893359,1,114736
55.173282,1,114880
58.477588,1,115160
59.53281,1,115184
60.743845,1,115256
-58.918197,0,115288
-56.838114,0,115440
58.243673,1,115592
60.633907,1,115768
62.574701,1,116072
55.704752,1,116128
