t,roll,pitch,yaw,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,d_lat,d_vert,vY,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,src_switch,source,gate
1785546997.506,0.000,-17.800,0.000,-0.674,15.800,-0.126,0.2740,5.823,0.028,-1.550,0.970,-0.0000,-0.0000,-0.000,0.000,-0.000,2.146,-2.000,0.0060,0.304,nan,0.74,1,0.0259,1.000,1,0.525,8,-0.005,0,yolo,0
1785546997.538,0.000,-17.800,0.000,-0.676,15.800,0.213,0.2739,5.823,0.028,-1.550,0.970,-0.0001,0.0000,-0.000,0.000,-0.000,2.146,-2.000,0.0059,0.304,nan,0.40,1,0.0141,1.000,1,0.524,8,-0.003,0,yolo,0
1785546997.569,-0.004,-17.681,-0.001,-0.681,15.681,0.317,0.2906,5.823,0.028,-1.550,0.970,0.0002,0.3750,-0.001,-0.003,0.012,2.159,-2.000,0.0059,0.291,nan,0.30,1,0.0105,1.000,1,0.524,8,-0.001,0,yolo,0
1785546997.604,-0.004,-17.681,-0.001,-0.688,15.681,0.394,0.2741,5.823,0.028,-1.550,0.970,-0.0003,0.0000,-0.001,-0.003,0.012,2.159,-2.000,0.0059,0.291,nan,0.22,1,0.0078,1.000,1,0.524,8,-0.001,0,yolo,0
1785546997.634,0.025,-15.292,-0.000,-0.646,14.181,0.452,0.2779,5.823,0.028,-1.550,0.970,0.0003,-0.0131,-0.000,-0.016,0.027,2.200,-2.000,0.0059,0.040,nan,0.16,1,0.0058,1.000,1,0.523,8,-0.001,0,yolo,0
1785546997.668,0.178,-13.535,-0.064,-0.477,12.681,0.520,0.2946,5.823,0.028,-1.550,0.970,0.0000,1.8475,0.002,-0.030,0.047,2.200,-2.000,0.0059,-0.145,nan,0.10,1,0.0034,1.000,1,0.523,8,-0.001,0,yolo,0
1785546997.694,0.238,-12.115,-0.118,-0.359,11.181,0.299,0.2841,5.823,0.028,-1.550,0.970,0.0030,-0.0224,0.004,-0.052,0.081,2.156,-2.000,0.0059,-0.294,nan,0.32,1,0.0111,1.000,1,0.521,8,0.008,0,yolo,0
1785546997.726,0.239,-12.098,-0.118,-0.358,10.098,0.133,0.2841,5.823,0.028,-1.550,0.970,0.0031,-0.0228,0.004,-0.053,0.082,2.154,-2.000,0.0060,-0.296,nan,0.48,1,0.0169,1.000,1,0.521,8,0.008,0,yolo,0
1785546997.757,0.289,-10.921,-0.126,0.096,8.921,0.286,0.3008,5.822,0.025,-1.550,0.970,0.0493,1.8528,0.007,-0.094,0.151,2.031,-2.000,0.0060,-0.419,nan,0.37,1,0.0128,1.000,1,0.512,8,0.045,0,yolo,0
1785546997.792,0.284,-9.842,-0.137,-0.176,7.842,0.375,0.2881,5.822,0.025,-1.550,0.970,-0.0015,-0.0481,0.010,-0.142,0.219,1.918,-2.000,0.0060,-0.532,nan,0.28,1,0.0096,1.000,1,0.512,8,0.045,0,yolo,0
1785546997.825,0.284,-9.842,-0.137,-0.176,7.842,0.130,0.2881,5.822,0.025,-1.550,0.970,-0.0015,-0.0481,0.010,-0.142,0.219,1.918,-2.000,0.0061,-0.532,nan,0.52,1,0.0182,1.000,1,0.443,7,0.138,0,yolo,0
1785546997.871,0.321,-8.913,-0.174,-0.429,6.913,-0.298,0.2981,5.843,0.029,-1.478,0.974,-0.0323,0.1707,0.013,-0.198,0.283,1.895,-2.000,0.0062,-0.555,nan,0.80,1,0.0281,1.000,1,0.443,7,0.138,0,yolo,0
1785546997.901,0.346,-8.015,-0.187,-0.097,6.015,0.341,0.2901,5.843,0.029,-1.478,0.974,0.0078,-0.0545,0.015,-0.253,0.338,1.801,-2.000,0.0062,-0.649,nan,0.17,1,0.0058,1.000,1,0.435,7,0.187,0,yolo,0
1785546997.928,0.363,-7.328,-0.205,-1.238,5.328,-0.450,0.2734,5.882,0.038,-1.295,0.980,-0.1350,-1.7174,0.018,-0.310,0.389,1.916,-2.000,0.0063,-0.534,nan,0.67,1,0.0235,1.000,1,0.435,7,0.249,0,yolo,0
1785546997.958,0.512,-6.668,-0.170,0.007,4.668,-0.832,0.2883,5.882,0.038,-1.295,0.980,0.0226,-0.0471,0.021,-0.357,0.440,1.847,-2.000,0.0063,-0.603,nan,1.06,1,0.0369,1.000,1,0.435,7,0.249,0,yolo,0
1785546997.990,0.512,-6.668,-0.170,0.007,4.668,-1.246,0.2883,5.882,0.038,-1.295,0.980,0.0226,-0.0471,0.021,-0.357,0.440,1.847,-2.000,0.0064,-0.603,nan,1.47,1,0.0513,1.000,1,0.371,6,0.259,0,yolo,0
1785546998.022,0.490,-6.163,-0.081,0.042,4.163,-1.557,0.2881,5.882,0.038,-1.295,0.980,0.0256,-0.0830,0.024,-0.393,0.481,1.794,-2.000,0.0065,-0.656,nan,1.78,1,0.0622,1.000,1,0.371,6,0.259,0,yolo,0
1785546998.051,0.474,-5.674,0.071,-0.556,3.674,-1.026,0.2714,5.914,0.041,-1.082,0.986,-0.0233,-1.6424,0.027,-0.430,0.522,1.958,-2.000,0.0065,-0.492,nan,1.06,1,0.0372,1.000,1,0.365,6,0.272,0,yolo,0
1785546998.089,0.474,-5.674,0.071,-0.014,3.674,-0.380,0.2867,5.914,0.041,-1.082,0.986,0.0222,0.0000,0.027,-0.430,0.522,1.958,-2.000,0.0066,-0.492,nan,0.42,1,0.0146,1.000,1,0.365,6,0.187,0,yolo,0
