t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785617452.806,0.000,-17.800,0.000,0.9521,0,-2.697,15.800,-2.316,0.2697,7.200,0.136,-1.850,1.000,1.079,2.697,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,2.010,-2.000,0.0060,0.440,nan,1.24,1,1,1,0.0432,1.000,1,0.529,8,-0.000,0,0,yolo,95.6,yolo,0,0,0,0.000,0,-1,0
1785617452.841,0.000,-17.800,0.000,0.9521,0,-2.696,15.800,-2.271,0.2696,7.200,0.136,-1.850,1.000,1.079,2.696,0.0001,-0.0000,0.000,0.000,-0.000,-0.000,2.010,-2.000,0.0059,0.440,nan,1.19,1,1,1,0.0416,1.000,1,0.529,8,0.029,0,0,yolo,95.6,yolo,0,0,0,0.000,0,-1,0
1785617452.872,-0.005,-17.778,-0.001,0.9522,0,-2.209,15.778,-2.191,0.2726,7.225,0.130,-1.861,1.000,1.033,2.203,0.0579,0.0616,0.000,0.008,0.002,0.010,2.016,-2.000,0.0059,0.434,nan,1.16,1,1,1,0.0404,1.000,1,0.529,8,0.029,0,0,yolo,95.3,yolo,0,0,0,0.000,0,-1,0
1785617452.903,-0.002,-16.497,0.002,0.9588,0,-2.619,14.497,-2.164,0.2726,7.225,0.130,-1.861,1.000,1.033,2.617,-0.0074,-0.0102,0.000,0.000,-0.008,0.021,2.183,-2.000,0.0058,0.267,nan,1.13,1,1,1,0.0395,1.000,1,0.530,8,0.027,0,0,yolo,95.3,yolo,0,0,0,0.000,0,-1,0
1785617452.934,0.231,-14.690,0.141,0.9673,0,-2.343,12.997,-2.143,0.2770,7.225,0.130,-1.861,1.000,1.033,2.574,-0.0048,-0.0195,0.003,0.003,-0.017,0.037,2.200,-2.000,0.0058,0.032,nan,1.11,1,1,1,0.0388,1.000,1,0.530,8,0.027,0,0,yolo,95.3,yolo,0,0,0,0.000,0,-1,0
1785617452.967,0.524,-13.382,0.436,0.9728,0,-0.843,11.497,-1.895,0.2937,6.734,0.091,-1.752,1.000,0.776,-0.381,0.3018,1.7781,0.007,0.064,-0.027,0.064,2.200,-2.000,0.0059,-0.145,nan,1.12,1,1,1,0.0391,1.000,1,0.528,8,0.002,0,0,yolo,91.9,yolo,0,0,0,0.000,0,-1,0
1785617452.998,0.524,-13.382,0.436,0.9728,0,-1.611,11.382,-1.902,0.2819,6.734,0.091,-1.752,1.000,0.776,2.135,-0.0567,0.0000,0.007,0.007,-0.027,0.064,2.200,-2.000,0.0059,-0.145,nan,1.13,1,1,1,0.0393,1.000,1,0.528,8,0.002,0,0,yolo,91.9,yolo,0,0,0,0.000,0,-1,0
1785617453.027,0.566,-12.314,0.622,0.9769,0,-1.485,10.314,-1.593,0.2839,6.734,0.091,-1.752,1.000,0.776,2.051,-0.0520,-0.0168,0.012,0.012,-0.044,0.106,2.175,-2.000,0.0059,-0.275,nan,0.82,1,1,1,0.0285,1.000,1,0.514,8,0.061,0,0,yolo,91.9,yolo,0,0,0,0.000,0,-1,0
1785617453.058,0.701,-11.243,0.743,0.9807,0,0.015,9.243,-1.231,0.3006,6.427,0.073,-1.682,1.000,0.646,-0.007,0.2187,1.8033,0.017,0.040,-0.068,0.155,2.055,-2.000,0.0059,-0.395,nan,0.58,1,1,1,0.0204,1.000,1,0.514,8,0.061,0,0,yolo,93.8,yolo,0,0,0,0.000,0,-1,0
1785617453.091,0.722,-10.361,0.857,0.9836,0,-0.675,8.361,-1.879,0.2885,6.427,0.073,-1.682,1.000,0.646,1.396,-0.0169,-0.0257,0.023,0.023,-0.094,0.211,1.953,-2.000,0.0060,-0.497,nan,1.23,1,1,1,0.0430,1.000,1,0.445,7,0.120,0,0,yolo,93.8,yolo,0,0,0,0.000,0,-1,0
