t,roll,pitch,yaw,up,upset,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,elev_fresh,is_new_d,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785653953.866,0.000,-17.800,0.000,0.9521,0,-1.111,15.800,-0.569,0.3029,10.079,0.077,-3.877,1.000,0.438,1.111,-0.0000,-0.0000,-0.002,-0.002,-0.000,-0.000,1.840,-2.000,0.0061,-0.610,nan,0.13,1,1,1,1,1,0.0046,1.000,1,0.521,8,0.015,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653953.895,0.000,-17.800,0.000,0.9521,0,-1.111,15.800,-0.538,0.3029,10.079,0.077,-3.877,1.000,0.438,1.111,0.0000,0.0000,-0.002,-0.002,-0.000,-0.000,1.840,-2.000,0.0061,-0.610,nan,0.10,1,1,1,0,1,0.0035,1.000,1,0.521,8,0.015,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653953.925,0.004,-16.898,-0.000,0.9568,0,-1.107,14.898,-0.517,0.3061,10.079,0.077,-3.877,1.000,0.438,1.110,0.0000,-0.0153,-0.002,-0.002,-0.015,0.004,1.670,-2.000,0.0062,-0.780,nan,0.08,1,1,1,0,1,0.0027,1.000,1,0.521,8,0.017,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653953.956,0.288,-14.149,0.079,0.9697,0,-0.789,13.398,-0.517,0.3168,10.079,0.077,-3.877,1.000,0.438,1.077,0.0025,-0.0414,0.001,0.001,-0.041,0.013,1.200,-2.000,0.0062,-1.295,nan,0.08,1,1,1,0,1,0.0027,1.000,1,0.521,8,0.017,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653953.994,0.288,-14.149,0.079,0.9697,0,-0.789,12.149,-0.501,0.3168,10.079,0.077,-3.877,1.000,0.438,1.077,0.0025,-0.0414,0.001,0.001,-0.041,0.013,1.200,-2.000,0.0062,-1.295,nan,0.06,1,1,1,0,1,0.0022,1.000,1,0.521,8,0.017,2,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653954.033,0.352,-12.530,0.164,0.9762,0,-0.682,10.649,-0.503,0.3218,10.079,0.077,-3.877,1.000,0.438,1.034,0.0057,-0.0898,0.004,0.004,-0.090,0.036,1.200,-2.000,0.0062,-1.597,nan,0.06,1,1,1,0,1,0.0023,1.000,1,0.521,8,0.023,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653954.070,0.438,-11.195,0.217,0.9809,0,-0.545,9.195,-1.042,0.3242,10.079,0.077,-3.877,1.000,0.438,0.982,0.0095,-0.1671,0.008,0.008,-0.167,0.075,1.200,-2.000,0.0062,-1.846,nan,0.60,1,1,1,0,1,0.0211,1.000,1,0.435,7,0.094,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653954.110,0.498,-9.907,0.331,0.9851,0,-0.420,7.907,-1.446,0.3220,10.079,0.077,-3.877,1.000,0.438,0.919,0.0142,-0.2886,0.012,0.012,-0.289,0.139,1.200,-2.000,0.0062,-2.084,nan,1.01,1,1,1,0,1,0.0352,1.000,1,0.435,7,0.094,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653954.148,0.499,-9.895,0.332,0.9851,0,-0.419,7.895,-1.314,0.3220,10.079,0.077,-3.877,1.000,0.438,0.918,0.0142,-0.2899,0.012,0.012,-0.290,0.139,1.200,-2.000,0.0062,-2.086,nan,0.88,1,1,1,0,1,0.0306,1.000,1,0.366,6,0.189,0,0,yolo,135.0,yolo,0,0,0,0.000,0,-1,0
1785653954.189,0.527,-8.943,0.495,0.9878,0,-0.580,6.943,-0.447,0.3053,5.826,0.056,-1.551,0.971,0.554,1.108,-0.0000,-0.0000,0.017,0.017,-0.432,0.205,1.824,-2.000,0.0063,-0.626,nan,0.78,1,1,1,1,1,0.0271,1.000,1,0.366,6,0.189,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
1785653954.225,0.558,-8.055,0.632,0.9901,0,-0.498,6.055,-0.589,0.2948,5.826,0.056,-1.551,0.971,0.554,1.056,-0.0000,-0.0000,0.020,0.020,-0.569,0.263,1.731,-2.000,0.0063,-0.719,nan,0.92,1,1,1,1,1,0.0321,1.000,1,0.434,7,0.226,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
1785653954.266,0.596,-7.220,0.757,0.9920,0,-0.409,5.220,-0.696,0.2970,5.826,0.056,-1.551,0.971,0.554,1.005,-0.0000,-0.0000,0.024,0.024,-0.702,0.319,1.644,-2.000,0.0064,-0.806,nan,1.03,1,1,1,1,1,0.0358,1.000,1,0.434,7,0.226,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
1785653954.297,0.640,-6.554,0.821,0.9934,0,-0.299,4.554,-0.678,0.2987,5.826,0.056,-1.551,0.971,0.554,0.939,-0.0000,-0.0000,0.028,0.028,-0.797,0.376,1.574,-2.000,0.0065,-0.876,nan,1.01,1,1,1,1,1,0.0352,1.000,1,0.377,6,0.249,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
1785653954.335,0.640,-6.554,0.821,0.9934,0,-0.299,4.554,-1.771,0.2988,5.826,0.056,-1.551,0.971,0.554,0.939,-0.0000,-0.0000,0.028,0.028,-0.797,0.376,1.574,-2.000,0.0066,-0.876,nan,2.10,1,1,1,1,1,0.0733,1.000,1,0.368,6,0.256,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
1785653954.375,0.671,-5.938,0.912,0.9946,0,-0.196,3.938,-2.590,0.3005,5.826,0.056,-1.551,0.971,0.554,0.867,-0.0000,-0.0000,0.033,0.033,-0.879,0.432,1.510,-2.000,0.0067,-0.940,nan,2.92,1,1,1,1,1,0.1019,1.000,1,0.368,6,0.256,0,0,yolo,122.6,yolo,0,0,0,0.000,0,-1,0
